titolo,generazione,criterio,luogo,dex,specie,condizione
"Giallo",1,luogo dedicato,89,60,Poliwag,
"Giallo",1,luogo dedicato,94,118,Goldeen,
"Oro",2,tipo di casella,,13,Weedle,"gara di scarabei"
"Oro",2,tipo di casella,,14,Kakuna,"gara di scarabei"
"Oro",2,tipo di casella,,15,Beedrill,"gara di scarabei"
"Oro",2,tipo di casella,,102,Exeggcute,"colpo di testa; colpo di testa su albero speciale"
"Oro",2,tipo di casella,,123,Scyther,"gara di scarabei"
"Oro",2,tipo di casella,,127,Pinsir,"gara di scarabei"
"Oro",2,tipo di casella,,190,Aipom,"colpo di testa; colpo di testa su albero speciale"
"Oro",2,tipo di casella,,204,Pineco,"colpo di testa su albero speciale"
"Oro",2,tipo di casella,,213,Shuckle,"spaccaroccia"
"Oro",2,tipo di casella,,214,Heracross,"colpo di testa su albero speciale"
"Oro",2,luogo dedicato,71,129,Magikarp,
"Oro",2,area monospecie,9,201,Unown,"tipo 0, ordinaria"
"Argento",2,tipo di casella,,10,Caterpie,"gara di scarabei"
"Argento",2,tipo di casella,,11,Metapod,"gara di scarabei"
"Argento",2,tipo di casella,,12,Butterfree,"gara di scarabei"
"Argento",2,tipo di casella,,102,Exeggcute,"colpo di testa; colpo di testa su albero speciale"
"Argento",2,tipo di casella,,123,Scyther,"gara di scarabei"
"Argento",2,tipo di casella,,127,Pinsir,"gara di scarabei"
"Argento",2,tipo di casella,,190,Aipom,"colpo di testa; colpo di testa su albero speciale"
"Argento",2,tipo di casella,,204,Pineco,"colpo di testa su albero speciale"
"Argento",2,tipo di casella,,213,Shuckle,"spaccaroccia"
"Argento",2,tipo di casella,,214,Heracross,"colpo di testa su albero speciale"
"Argento",2,luogo dedicato,71,129,Magikarp,
"Argento",2,area monospecie,9,201,Unown,"tipo 0, ordinaria"
"Cristallo",2,tipo di casella,,15,Beedrill,"colpo di testa; gara di scarabei"
