generazione,dex,specie,differenza
I,0003,Venusaur,Female's flower has a visible gynoecium
I,0012,Butterfree,Female has black (purple in Generation V ) spots on her lower wings
I,0019,Rattata,Female has smaller whiskers
I,0020,Raticate,Female has smaller whiskers
I,0025,Pikachu,Female's tail ends in the upper half of a heart
I,0026,Raichu,Female's tail lacks a point and is smaller
I,0041,Zubat,Female has smaller fangs
I,0042,Golbat,Female has smaller fangs
I,0044,Gloom,Female has one large spot per petal
I,0045,Vileplume,Female's petals have larger spots
I,0064,Kadabra,Female has a smaller mustache
I,0065,Alakazam,Female has a smaller mustache
I,0084,Doduo,Male has black necks while female has beige necks
I,0085,Dodrio,Male has black necks while female has beige necks
I,0097,Hypno,Female has longer collar fur
I,0111,Rhyhorn,Female's horn is shorter
I,0112,Rhydon,Female's horn is shorter
I,0118,Goldeen,Female's horn is smaller
I,0119,Seaking,Female's horn is smaller
I,0123,Scyther,Female's abdomen is larger
I,0129,Magikarp,Male has yellow barbels while female has white barbels
I,0130,Gyarados,Male has blue barbels while female has white barbels
I,0133,Eevee,"Female's tail's white tip has larger, rounder scallops. This gender difference was introduced in Pokémon: Let's Go, Pikachu! and Let's Go, Eevee! , where it was exclusive to the partner Eevee. Starting in Generation VIII , this gender difference was applied to all Eevee. <span class=""mw-headline"""
II,0154,Meganium,Male has longer antennae
II,0165,Ledyba,Female has smaller antennae
II,0166,Ledian,Female has smaller antennae
II,0178,Xatu,Male has three body stripes
II,0185,Sudowoodo,"Female's head ""branch"" is smaller"
II,0186,Politoed,Female has smaller cheeks
II,0190,Aipom,Male has shorter head fur
II,0194,Wooper,Female has one set of gill branches
II,0195,Quagsire,Female has a smaller dorsal ridge
II,0198,Murkrow,Female's hat-like plumage is smaller
II,0202,Wobbuffet,Female's mouth has lipstick-like markings
II,0203,Girafarig,Female's body has a larger yellow section
II,0207,Gligar,Female has a smaller stinger
II,0208,Steelix,Female lacks an outer tooth on each side
II,0212,Scizor,Female's abdomen is larger
II,0214,Heracross,Female's horn is heart-shaped
II,0215,Sneasel,Female's left ear is shorter
II,0217,Ursaring,Female has longer shoulder fur
II,0221,Piloswine,Female has smaller tusks
II,0224,Octillery,Female has smaller suction cups
II,0229,Houndoom,Female has smaller horns
II,0232,Donphan,"Female has shorter tusks <span class=""mw-headline"""
III,0255,Torchic,Male has a black speck on his rear
III,0256,Combusken,Female has smaller head feathers
III,0257,Blaziken,Female's head crest is smaller
III,0267,Beautifly,Male has longer red markings on his upper wings
III,0269,Dustox,Male has longer antennae
III,0272,Ludicolo,Male has thicker stripes
III,0274,Nuzleaf,Male has a bigger leaf
III,0275,Shiftry,Female has smaller leaves
III,0307,Meditite,Male's ears are higher
III,0308,Medicham,Male has a larger bulb on his head
III,0315,Roselia,Female's body leaf is longer
III,0316,Gulpin,Female's feather is shorter
III,0317,Swalot,Female has shorter whiskers
III,0322,Numel,Female has larger hump
III,0323,Camerupt,Female has larger humps
III,0332,Cacturne,Female has a large diamond on her chest where male has two small ones
III,0350,Milotic,Male's hair-like fins are shorter
III,0369,Relicanth,"Male has a longer jaw guard <span class=""mw-headline"""
IV,0396,Starly,Female's forehead marking is smaller
IV,0397,Staravia,Female's forehead spot is smaller
IV,0398,Staraptor,Female's forehead spot is smaller
IV,0399,Bidoof,Male's tail has two additional curls
IV,0400,Bibarel,Male's mask has two additional curls
IV,0401,Kricketot,Female has a larger collar
IV,0402,Kricketune,Female has a smaller mustache
IV,0403,Shinx,Female has blue hind feet and a shorter mane
IV,0404,Luxio,Female has exposed rear ankles and a shorter mane
IV,0405,Luxray,Female's mane is smaller
IV,0407,Roserade,Female has longer cape
IV,0415,Combee,Male's lower face has no red mark Only female Combee can evolve into Vespiquen
IV,0417,Pachirisu,Female's head stripe is shorter
IV,0418,Buizel,Female has one less light-colored spot on her back
IV,0419,Floatzel,Female has one less light-colored bump on her back
IV,0424,Ambipom,Male has shorter head fur
IV,0443,Gible,Male has a notched dorsal fin
IV,0444,Gabite,Male has a notched dorsal fin
IV,0445,Garchomp,Male has a notched dorsal fin
IV,0449,Hippopotas,Female's color pattern is inverted
IV,0450,Hippowdon,Male's body is light brown and female's is bluish-gray
IV,0453,Croagunk,"Female has higher ""bandages"""
IV,0454,Toxicroak,Female's vocal sac is smaller
IV,0456,Finneon,Female has larger bottom tail fins
IV,0457,Lumineon,Female has longer fins
IV,0459,Snover,Female's midsection is white
IV,0460,Abomasnow,Female has longer chest fur
IV,0461,Weavile,Female's ears are shorter
IV,0464,Rhyperior,Female has smaller upper horn
IV,0465,Tangrowth,Female's finger markings are longer
IV,0473,Mamoswine,"Female has smaller tusks <span class=""mw-headline"""
V,0521,Unfezant,Male has a reddish-pink wattle with long extensions while the female has a curved feather on the back of her head. Male has a green underside and female has a brown underside.
V,0592,Frillish,"Male is blue, frowns, and has a ruffled collar, smooth, diamond-patterned tentacles, and one upper eyelash per eye. Female is pink, smiles, and has a bulbous collar, frilled tentacles, and one lower eyelash per eye. Males have a star-shaped head pattern and a stiff crown while females have a flower-shaped pattern and a limp crown."
V,0593,Jellicent,"Body color, eyes, head pattern, and tentacle differences are much the same as with Frillish, but the female's eyes are now larger and have two eyelashes each. Males have a facial covering resembling a large mustache while females have one resembling a fluffy collar. Female has a heart-shaped mouth and the male's is hidden inside the ""mustache."" <span class=""mw-headline"""
VI,0668,Pyroar,"Male has a large mane shaped like the kanji character 大 ō (big or great) or 火 hi (fire), a stockier body, and half-brown front legs. Female has long, flowing hair similar to a ponytail and mostly-brown legs."
VI,0678,Meowstic,"Males are mostly blue with white highlights, the inverse of females. Male's eyes are green with light blue sclerae, while female's are red and yellow. The moves Meowstic can learn vary by gender, with males learning more status moves and females learning more damaging moves. Male Meowstic have the Hidden Ability Prankster , while female Meowstic have the Hidden Ability Competitive . In Pokémon Sword and Shield , all wild Meowstic are male in Sword and female in Shield. However, evolving Espurr allows both genders to be obtained in either version. <span class=""mw-headline"""
VIII,0876,Indeedee,"Males have lowered eyes, a triangular mouth pointing upwards like a frown, and more black on their torso, made to resemble a suit . Females have wider eyes, a triangular mouth pointing downwards like a smile, and more white on their torso, made to resemble an apron . Male Indeedee have higher Attack , Special Attack , and Speed , while female Indeedee have higher Defense , Special Defense , and HP . The two genders also have different moves and Abilities. In Pokémon Sword and Shield , all wild Indeedee are male in Sword and female in Shield. However, breeding and Dynamax Adventures allow both genders to be obtained in either version."
VIII,0902,Basculegion,"Males have red accents, fierce-looking eyes, longer barbels, and two additional growths on their chin resembling a stubble. Females have pale-blue accents, sad-looking eyes, shorter barbels, and additional accents around their lips and eyes. Male Basculegion have higher Attack , while female Basculegion have higher Special Attack . <span class=""mw-headline"""
IX,0916,Oinkologne,"Females have more brown bodies while males have a darker gray complexion. Male Oinkologne have a larger left ear which often covers their left eye, and have a more magenta shade of pink for their hooves and snout. Male Oinkologne are also slightly plumper than the females, and have a differently shaped tail bobble. Male Oinkologne may have the Ability Lingering Aroma , while female Oinkologne may have the Ability Aroma Veil . The two forms learn the same moves by leveling up, yet the female form learns them at earlier levels and also learns Yawn before Take Down . The two forms also have different stats, with males having higher Attack and Defense and females having higher HP and Sp. Def. They also have different cries . <span"
