#,Pokémon,Image,Column 2,Games,Home Description,Other notes,Completion,Moved to Home
3.0,Venusaur,,,RBY,Register Venusaur from  the Good ol' Kanto Region,,FALSE,FALSE
3.0,Venusaur,,,FRLG,Register Venusaur from Pokémon FireRed & LeafGreen,,FALSE,FALSE
6.0,Charizard,,,RBY,Register Charizard from  the Good ol' Kanto Region,,FALSE,FALSE
6.0,Charizard,,,FRLG,Register Charizard from Pokémon FireRed & LeafGreen,,FALSE,FALSE
9.0,Blastoise,,,RBY,Register Blastoise from  the Good ol' Kanto Region,,FALSE,FALSE
25.0,Pikachu,,,RBY,Register Pikachu from  the Good ol' Kanto Region,,FALSE,FALSE
25.0,Pikachu,,,USUM,Register Pikachu wearing a hat,Partner Cap,FALSE,FALSE
133.0,Eevee,,,Any Pre gen 6,Register Eevee brought over using poke Transporter,"The Guide from u/electroswingmix says they are unsure if it has to be gen 5 (gens 1 and 2 are also direct transfers) (LEGACY CHALLENGE, INVISBLE UNTIL COMPLETE)",FALSE,FALSE
143.0,Snorlax,,,SM,Register Pulverizing Snorlax,"""""Pulverizing"" Snorlax was an Event-exclusive Munchlax that can now only be obtained with injects or hacking. To unlock, it will need to know the move Giga Impact.""  PER U/electroswingmix   (LEGACY CHALLENGE, INVISBLE UNTIL COMPLETE)",FALSE,FALSE
245.0,Suicune,,,GSC,Register Suicune from the good ol' Johto region,,FALSE,FALSE
249.0,Lugia,,,GSC,Register Lugia from the good ol' Johto region,,FALSE,FALSE
249.0,Lugia,,,HGSS,Register Lugia from Pokemon HeartGold or Pokemon SoulSilver,,FALSE,FALSE
250.0,Ho-Oh,,,GSC,Register Ho-Oh from the good ol' Johto region,,FALSE,FALSE
250.0,Ho-Oh,,,HGSS,Register Ho-Oh from Pokemon HeartGold or Pokemon SoulSilver,,FALSE,FALSE
252.0,Treecko,,,ORAS,"Register Treecko, Grovyle and Sceptile from Pokémon Omega Ruby or Pokémon Alpha Sapphire!","Register Treecko, Torchic, and Mudkip from Pokémon Omega Ruby or Pokémon Alpha Sapphire!",FALSE,FALSE
253.0,Grovyle,,,ORAS,"Register Treecko, Grovyle and Sceptile from Pokémon Omega Ruby or Pokémon Alpha Sapphire!",,FALSE,FALSE
254.0,Sceptile,,,ORAS,"Register Treecko, Grovyle and Sceptile from Pokémon Omega Ruby or Pokémon Alpha Sapphire!",,FALSE,FALSE
255.0,Torchic,,,ORAS,"Register Torchic, Combusken and Blaziken from Pokémon Omega Ruby or Pokémon Alpha Sapphire!","Register Treecko, Torchic, and Mudkip from Pokémon Omega Ruby or Pokémon Alpha Sapphire!",FALSE,FALSE
256.0,Combusken,,,ORAS,"Register Torchic, Combusken and Blaziken from Pokémon Omega Ruby or Pokémon Alpha Sapphire!",,FALSE,FALSE
257.0,Blaziken,,,ORAS,"Register Torchic, Combusken and Blaziken from Pokémon Omega Ruby or Pokémon Alpha Sapphire!",,FALSE,FALSE
258.0,Mudkip,,,ORAS,"Register Treecko, Torchic, and Mudkip from Pokémon Omega Ruby or Pokémon Alpha Sapphire!",,FALSE,FALSE
259.0,Marshtomp,,,ORAS,,,FALSE,FALSE
260.0,Swampert,,,ORAS,"Register Mudkip, Marshtomp and Swampert from Pokémon Omega Ruby or Pokémon Alpha Sapphire!",,FALSE,FALSE
382.0,Kyogre,,,RSE,"Register Kyogre from Pokemon Ruby, Pokemon Sapphire, or Pokemon Emerald",,FALSE,FALSE
382.0,Kyogre,,,ORAS,Register Kyogre from Pokemon Omega Ruby or Pokemon Alpha Sapphire,,FALSE,FALSE
383.0,Groudon,,,RSE,"Register Groudon from Pokémon Ruby, Pokémon Sapphire, or Pokémon Emerald",,FALSE,FALSE
383.0,Groudon,,,ORAS,Register Groudon from Pokémon Omega Ruby or Pokémon Alpha Sapphire,,FALSE,FALSE
384.0,Rayquaza,,,RSE,"Register Rayquaza from Pokémon Ruby, Pokémon Sapphire, or Pokémon Emerald",,FALSE,FALSE
384.0,Rayquaza,,,ORAS,Register Rayquaza from Pokémon Omega Ruby or Pokémon Alpha Sapphire,,FALSE,FALSE
387.0,Turtwig,,,DPPt,,,FALSE,FALSE
390.0,Chimchar,,,DPPt,,,FALSE,FALSE
393.0,Piplup,,,DPPt,,,FALSE,FALSE
483.0,Dialga,,,DPPt,"Register Dialga from Pokémon Diamond, Pokémon Pearl, or Pokémon Platinum!",There is a second challenge for all 3,FALSE,FALSE
484.0,Palkia,,,DPPt,"Register Palkia from Pokémon Diamond, Pokémon Pearl, or Pokémon Platinum",There is a second challenge for all 3,FALSE,FALSE
487.0,Giratina,,,DPPt,"Register Giratina from Pokémon Diamond, Pokémon Pearl, or Pokémon Platinum!",There is a second challenge for all 3,FALSE,FALSE
607.0,Litwick,,,BWB2W2,Register Litwick brought over using Poké Transporter!,"(LEGACY CHALLENGE, INVISBLE UNTIL COMPLETE)",FALSE,FALSE
643.0,Reshiram,,,BW,Register Reshiram from Pokemon Black or Pokemon White,"The Guide from u/electroswingmix says the ones from b2w2 might count, my own completion shows it doesnt",FALSE,FALSE
644.0,Zekrom,,,BW,Register Zekrom from Pokemon Black or Pokemon White,"The Guide from u/electroswingmix says the ones from b2w2 might count, my own completion shows it doesnt",FALSE,FALSE
643.0,Reshiram,,,B2W2,Register Reshiram and Kyurem from Pokemon Black 2 or Pokemon White 2,,FALSE,FALSE
644.0,Zekrom,,,B2W2,Register Zekrom and Kyurem from Pokemon Black 2 or Pokemon White 2,,FALSE,FALSE
646.0,Kyurem,,,B2W2,Register Reshiram and Kyurem from Pokemon Black 2 or Pokemon White 2 / Register Zekrom and Kyurem from Pokemon Black 2 or Pokemon White 2,1 half of 2 challenges,FALSE,FALSE
649.0,Genesect,,,Any,Register Shiney Genesect!,"any will work, only legal ones are from JPN/KOR only event in BW or from Pokemon Go",FALSE,FALSE
716.0,Xerneas,,,XY,Register Xerneas from Pokémon X or Pokémon Y,,FALSE,FALSE
717.0,Yveltal,,,XY,Register Yveltal from Pokémon X or Pokémon Y,,FALSE,FALSE
719.0,Diancie,,,XY,Register Diancie from Pokémon X or Pokémon Y!,"(LEGACY CHALLENGE, INVISBLE UNTIL COMPLETE)",FALSE,FALSE
789.0,Cosmog,,,SM,"Register Cosmog, Cosmoem, Solgaleo and Lunala from the Alola Region",,FALSE,FALSE
789.0,Cosmog,,,USUM,,,FALSE,FALSE
790.0,Cosmoem,,,SM,,,FALSE,FALSE
790.0,Cosmoem,,,USUM,,,FALSE,FALSE
791.0,Solgaleo,,,SM,Register Solgaleo from Pokémon Sun or Pokémon Moon,,FALSE,FALSE
791.0,Solgaleo,,,USUM,Register Solgaleo and Necrozma from Pokémon Ultra Sun or Pokémon Ultra Moon,,FALSE,FALSE
792.0,Lunala,,,SM,Register Lunala from Pokémon Sun or Pokémon Moon,,FALSE,FALSE
792.0,Lunala,,,USUM,Register Lunala and Necrozma Pokémon Ultra Sun or Pokémon Ultra Moon,,FALSE,FALSE
800.0,Necrozma,,,SM,"Register Solgaleo, Lunala and Necrozma from the Alola Region",Third of one challenge,FALSE,FALSE
800.0,Necrozma,,,USUM,,"Half of 2 challenges, third of one more",FALSE,FALSE
Stat,,,,Home Challenges,,,0,0
