dex,nome,sesso,gmax,forma,regione,commento
1,Bulbasaur,,,,Kanto,
2,Ivysaur,,,,Kanto,
3,Venusaur,♂,1,,Kanto,
3,Venusaur,♀,1,,Kanto,
4,Charmander,,,,Kanto,
5,Charmeleon,,,,Kanto,
6,Charizard,,1,,Kanto,
7,Squirtle,,,,Kanto,
8,Wartortle,,,,Kanto,
9,Blastoise,,1,,Kanto,
10,Caterpie,,,,Kanto,
11,Metapod,,,,Kanto,
12,Butterfree,♂,1,,Kanto,
12,Butterfree,♀,1,,Kanto,
13,Weedle,,,,Kanto,
14,Kakuna,,,,Kanto,
15,Beedrill,,,,Kanto,
16,Pidgey,,,,Kanto,
17,Pidgeotto,,,,Kanto,
18,Pidgeot,,,,Kanto,
19,Rattata,♂,,,Kanto,
19,Rattata,♀,,,Kanto,
20,Raticate,♂,,,Kanto,
20,Raticate,♀,,,Kanto,
21,Spearow,,,,Kanto,
22,Fearow,,,,Kanto,
23,Ekans,,,,Kanto,
24,Arbok,,,,Kanto,
25,Pikachu,♂,1,,Kanto,
25,Pikachu,♀,1,,Kanto,
25,Pikachu,,,Original Cap,Event (Alola),Event exclusive
25,Pikachu,,,Hoenn Cap,Event (Alola),Event exclusive
25,Pikachu,,,Sinnoh Cap,Event (Alola),Event exclusive
25,Pikachu,,,Unova Cap,Event (Alola),Event exclusive
25,Pikachu,,,Kalos Cap,Event (Alola),Event exclusive
25,Pikachu,,,Alola Cap,Event (Alola),Event exclusive
25,Pikachu,,,Partner Cap,Alola,"Indefinitely obtainable in Pokémon Ultra Sun and Pokémon Ultra Moon through QR Code (only transferable if Pokémon Bank was downloaded from 3DS eShop before it was closed in March, 2023)"
25,Pikachu,,,World Cap,Event (Galar),Event exclusive
26,Raichu,♂,,,Kanto,
26,Raichu,♀,,,Kanto,
27,Sandshrew,,,,Kanto,
28,Sandslash,,,,Kanto,
29,Nidoran ♀,,,,Kanto,
30,Nidorina,,,,Kanto,
31,Nidoqueen,,,,Kanto,
32,Nidoran ♂,,,,Kanto,
33,Nidorino,,,,Kanto,
34,Nidoking,,,,Kanto,
35,Clefairy,,,,Kanto,
36,Clefable,,,,Kanto,
37,Vulpix,,,,Kanto,
38,Ninetales,,,,Kanto,
39,Jigglypuff,,,,Kanto,
40,Wigglytuff,,,,Kanto,
41,Zubat,♂,,,Kanto,
41,Zubat,♀,,,Kanto,
42,Golbat,♂,,,Kanto,
42,Golbat,♀,,,Kanto,
43,Oddish,,,,Kanto,
44,Gloom,♂,,,Kanto,
44,Gloom,♀,,,Kanto,
45,Vileplume,♂,,,Kanto,
45,Vileplume,♀,,,Kanto,
46,Paras,,,,Kanto,
47,Parasect,,,,Kanto,
48,Venonat,,,,Kanto,
49,Venomoth,,,,Kanto,
50,Diglett,,,,Kanto,
51,Dugtrio,,,,Kanto,
52,Meowth,,1,,Kanto,
53,Persian,,,,Kanto,
54,Psyduck,,,,Kanto,
55,Golduck,,,,Kanto,
56,Mankey,,,,Kanto,
57,Primeape,,,,Kanto,
58,Growlithe,,,,Kanto,
59,Arcanine,,,,Kanto,
60,Poliwag,,,,Kanto,
61,Poliwhirl,,,,Kanto,
62,Poliwrath,,,,Kanto,
63,Abra,,,,Kanto,
64,Kadabra,♂,,,Kanto,
64,Kadabra,♀,,,Kanto,
65,Alakazam,♂,,,Kanto,
65,Alakazam,♀,,,Kanto,
66,Machop,,,,Kanto,
67,Machoke,,,,Kanto,
68,Machamp,,1,,Kanto,
69,Bellsprout,,,,Kanto,
70,Weepinbell,,,,Kanto,
71,Victreebel,,,,Kanto,
72,Tentacool,,,,Kanto,
73,Tentacruel,,,,Kanto,
74,Geodude,,,,Kanto,
75,Graveler,,,,Kanto,
76,Golem,,,,Kanto,
77,Ponyta,,,,Kanto,
78,Rapidash,,,,Kanto,
79,Slowpoke,,,,Kanto,
80,Slowbro,,,,Kanto,
81,Magnemite,,,,Kanto,
82,Magneton,,,,Kanto,
83,Farfetch'd,,,,Kanto,
84,Doduo,♂,,,Kanto,
84,Doduo,♀,,,Kanto,
85,Dodrio,♂,,,Kanto,
85,Dodrio,♀,,,Kanto,
86,Seel,,,,Kanto,
87,Dewgong,,,,Kanto,
88,Grimer,,,,Kanto,
89,Muk,,,,Kanto,
90,Shellder,,,,Kanto,
91,Cloyster,,,,Kanto,
92,Gastly,,,,Kanto,
93,Haunter,,,,Kanto,
94,Gengar,,1,,Kanto,
95,Onix,,,,Kanto,
96,Drowzee,,,,Kanto,
97,Hypno,♂,,,Kanto,
97,Hypno,♀,,,Kanto,
98,Krabby,,,,Kanto,
99,Kingler,,1,,Kanto,
100,Voltorb,,,,Kanto,
101,Electrode,,,,Kanto,
102,Exeggcute,,,,Kanto,
103,Exeggutor,,,,Kanto,
104,Cubone,,,,Kanto,
105,Marowak,,,,Kanto,
106,Hitmonlee,,,,Kanto,
107,Hitmonchan,,,,Kanto,
108,Lickitung,,,,Kanto,
109,Koffing,,,,Kanto,
110,Weezing,,,,Kanto,
111,Rhyhorn,♂,,,Kanto,
111,Rhyhorn,♀,,,Kanto,
112,Rhydon,♂,,,Kanto,
112,Rhydon,♀,,,Kanto,
113,Chansey,,,,Kanto,
114,Tangela,,,,Kanto,
115,Kangaskhan,,,,Kanto,
116,Horsea,,,,Kanto,
117,Seadra,,,,Kanto,
118,Goldeen,♂,,,Kanto,
118,Goldeen,♀,,,Kanto,
119,Seaking,♂,,,Kanto,
119,Seaking,♀,,,Kanto,
120,Staryu,,,,Kanto,
121,Starmie,,,,Kanto,
122,Mr. Mime,,,,Kanto,
123,Scyther,♂,,,Kanto,
123,Scyther,♀,,,Kanto,
124,Jynx,,,,Kanto,
125,Electabuzz,,,,Kanto,
126,Magmar,,,,Kanto,
127,Pinsir,,,,Kanto,
128,Tauros,,,,Kanto,
129,Magikarp,♂,,,Kanto,
129,Magikarp,♀,,,Kanto,
130,Gyarados,♂,,,Kanto,
130,Gyarados,♀,,,Kanto,
131,Lapras,,1,,Kanto,
132,Ditto,,,,Kanto,
133,Eevee,♂,1,,Kanto,
133,Eevee,♀,1,,Kanto,
134,Vaporeon,,,,Kanto,
135,Jolteon,,,,Kanto,
136,Flareon,,,,Kanto,
137,Porygon,,,,Kanto,
138,Omanyte,,,,Kanto,
139,Omastar,,,,Kanto,
140,Kabuto,,,,Kanto,
141,Kabutops,,,,Kanto,
142,Aerodactyl,,,,Kanto,
143,Snorlax,,1,,Kanto,
144,Articuno,,,,Kanto,
145,Zapdos,,,,Kanto,
146,Moltres,,,,Kanto,
147,Dratini,,,,Kanto,
148,Dragonair,,,,Kanto,
149,Dragonite,,,,Kanto,
150,Mewtwo,,,,Kanto,
151,Mew,,,,"Kanto or Sinnoh (LGPE Pokéball Plus, BDSP)","Formerly event exclusive but is indefinitely available in BDSP (must have LGPE save data on Switch), in LGPE with a Pokéball Plus (one per Pokéball Plus), and Pokémon Go"
152,Chikorita,,,,Johto,
153,Bayleef,,,,Johto,
154,Meganium,♂,,,Johto,
154,Meganium,♀,,,Johto,
155,Cyndaquil,,,,Johto,
156,Quilava,,,,Johto,
157,Typhlosion,,,,Johto,
158,Totodile,,,,Johto,
159,Croconaw,,,,Johto,
160,Feraligatr,,,,Johto,
161,Sentret,,,,Johto,
162,Furret,,,,Johto,
163,Hoothoot,,,,Johto,
164,Noctowl,,,,Johto,
165,Ledyba,♂,,,Johto,
165,Ledyba,♀,,,Johto,
166,Ledian,♂,,,Johto,
166,Ledian,♀,,,Johto,
167,Spinarak,,,,Johto,
168,Ariados,,,,Johto,
169,Crobat,,,,Johto (or Kanto),
170,Chinchou,,,,Johto,
171,Lanturn,,,,Johto,
172,Pichu,,,,Johto,
173,Cleffa,,,,Johto,
174,Igglybuff,,,,Johto,
175,Togepi,,,,Johto,
176,Togetic,,,,Johto,
177,Natu,,,,Johto,
178,Xatu,♂,,,Johto,
178,Xatu,♀,,,Johto,
179,Mareep,,,,Johto,
180,Flaaffy,,,,Johto,
181,Ampharos,,,,Johto,
182,Bellossom,,,,Johto (or Kanto),
183,Marill,,,,Johto,
184,Azumarill,,,,Johto,
185,Sudowoodo,♂,,,Johto,
185,Sudowoodo,♀,,,Johto,
186,Politoed,♂,,,Johto (or Kanto),
186,Politoed,♀,,,Johto (or Kanto),
187,Hoppip,,,,Johto,
188,Skiploom,,,,Johto,
189,Jumpluff,,,,Johto,
190,Aipom,♂,,,Johto,
190,Aipom,♀,,,Johto,
191,Sunkern,,,,Johto,
192,Sunflora,,,,Johto,
193,Yanma,,,,Johto,
194,Wooper,♂,,,Johto,
194,Wooper,♀,,,Johto,
195,Quagsire,♂,,,Johto,
195,Quagsire,♀,,,Johto,
196,Espeon,,,,Johto (or Kanto),
197,Umbreon,,,,Johto (or Kanto),
198,Murkrow,♂,,,Johto,
198,Murkrow,♀,,,Johto,
