Game,Pokémon,Nickname,OT/ID,Trainer requests,Category,Comments,Checklist
"Stadium
↓
GRBY and GSC",Bulbasaur,-,Stadium/02000,-,Gift Pokémon,"Gym Leader Castle gifts. When you defeat the Gym Leader Castle, defeating the Elite Four and your Rival, you will get a special gift of a Pokémon. These Pokémon are chosen at random and you can defeat the Elite Four & Rival repeatedly in order to get the Pokémon you desire. Impossible to transfer from Gen 1 or 2 to the other Gens (unless through unofficial means).",FALSE
,Charmander,-,,-,Gift Pokémon,,FALSE
,Squirtle,-,,-,Gift Pokémon,,FALSE
,Hitmonlee,-,,-,Gift Pokémon,,FALSE
,Hitmonchan,-,,-,Gift Pokémon,,FALSE
,Eevee,-,,-,Gift Pokémon,,FALSE
,Omanyte,-,,-,Gift Pokémon,,FALSE
,Kabuto,-,,-,Gift Pokémon,,FALSE
,Psyduck,-,,-,Gift Pokémon,"Register all 151 pokémon into the Hall of Fame. It has Amnesia, which it is not usually able to learn. Impossible to transfer from Gen 1 or 2 to the other Gens (unless through unofficial means).",FALSE
"Stadium 2 
↓
GRBY and GSC",Farfetch'd,-,Stadium/02000,-,Gift Pokémon,"Defeat the Rival in the special Rival battle in Round 1 and watch the credits afterwards. Has the special move Baton Pass, which it is not usually able to learn. Impossible to transfer from Gen 1 or 2 to the other Gens (unless through unofficial means).",FALSE
,Gligar,-,,-,Gift Pokémon,"Defeat the Rival in the special Rival battle in Round 2and watch the credits afterwards. Has the special move Earthquake, which it was not able to learn in Generation II. Impossible to transfer from Gen 1 or 2 to the other Gens (unless through unofficial means).",FALSE
"Colosseum
↓
RSE and FRLG",Plusle,-,DUKING/37149,-,Gift Pokémon,Reward for rescuing Plusle.,FALSE
,Wishmaker Jirachi,-,WISHMKR/20043,-,Gift Pokémon,"US Colosseum Bonus Disc + Gmaecube-Gameboy Advance Cable + Ruby/Sapphire with an empty spot in party. Colosseum itself is not necessary, only the Bonus Disc.",FALSE
,Ageto Celebi,-,アゲト/31121,-,Gift Pokémon,"JPN Bonus Disc. Owning a JPN version of Pokémon Colosseum is required to receive any gifts from the Bonus Disc. To receive Celebi, The Colosseum save file must have all 48 Shadow Pokémon purified. After Celebi has been transferred to the Colosseum save file, the Bonus Disc can then be used to transfer up to 48 more Celebi to any Japanese Game Boy Advance Pokémon games as long as the player has entered the Hall of Fame and saved in a Pokémon Center.",FALSE
,Pikachu,-,コロシアム/31121,-,Gift Pokémon,JPN Bonus Disc. Owning a JPN version of Pokémon Colosseum is required to receive any gifts from the Bonus Disc.,FALSE
,Ho-oh,-,MATTLE/10048,-,Gift Pokémon,"1) Heal all 48 Pokémon.
2) Enter Battle Mode, then go to option of Registering your Pokemon.
3) Register your party of 6 from the Scenario Mode, meaning the active 6 you were carrying when you last saved in the Scenario Mode.
4) Enter Battle Mountain in the Battle Mode, choose either the single (1 vs 1) or double (2 vs 2) battle.
5) Beat all 100 trainers.",FALSE
,Togepi,-,Player's,-,Other,Catchable via e-card.,FALSE
,Mareep,-,Player's,-,Other,,FALSE
,Scizor,-,Player's,-,Other,,FALSE
"Channel
↓
RS",Jirachi,-,CHANNEL/40122,-,Gift Pokémon,"Only in European and Australian versions of Pokémon Channel. 
Finish the game, then watch newly unlocked full version of the ""Pichu Bros"" movie. Afterwards, the ""Download Jirachi"" option appears and it cam be transferred over to finished versions of Ruby/Sapphire (E4 beaten) once per save file.",FALSE
"XD Gale of Darkness
↓
RSE and FRLG",Elekid,ZAPRONG,HORDEL/41400,Purified Togepi/tic,In-game trade,Outskirt Stand.,FALSE
,Meditite,-,DUKING/37149,Trapinch,In-game trade,Pyrite Town.,FALSE
,Shuckle,-,,Surskit,In-game trade,,FALSE
,Larvitar,-,,Wooper,In-game trade,,FALSE
,Shadow Togepi,-,Player's,-,Gift Pokémon,Outskirt Stand.,FALSE
,Johto starters,-,Player's,-,Gift Pokémon,Reward for conquering Mt. Battle. One per completion.,FALSE
"GameCube Interactive Multi-Game Demo Disc 14 or 16
↓
Ruby, Sapphire",Shiny Zigzagoon,-,Player's,-,Gift Pokémon,"Demo discs were released to select stores across U.S. and Japan, so players could visit these stores and download the berry glitch patch from the disc. In addition, players would also receive a Shiny Zigzagoon holding a Liechi Berry as a bonus. The Zigzagoon could be downloaded multiple times to a single game. The Demo Discs are obviously not being distributed anymore, so I won't consider it as part of the challenge.",FALSE
"Battle Revolution
↓
DPPl and HGSS",Pikachu,-,PKTOPIA/44870,-,Gift Pokémon,After completing the game. Surfing Pikachu.,FALSE
,Electivire,-,PKTOPIA/06257,-,Gift Pokémon,Explanation and codes here.,FALSE
,Magmortar,-,PKTOPIA/06257,-,Gift Pokémon,,FALSE
"Pokémon Ranger
↓
DPPl and HGSS",Manaphy,-,Player's,-,Egg,"Link Pokémon Ranger w/ (completed Manaphy Quest) to DPPt. 
Assuming my research was correct, none of the other Pokémon Ranger/Shadows of Almia/Guardian Signs event Pokémon can be transferred any longer (through official means). Manaphy is the only one that still works.",FALSE
"Dream Radar
↓
B2W2",Munna,-,Player's,-,Interactable Pokémon,"Includes some Pokémon that can be caught repeatedly; some Legendary Pokémon that can be caught by playing Dream Radar with mainline games in the 3DS; three Special Extension Pokémon (Beldum, Slowpoke, Hoothoot) that can be caught after inserting codes; Therian Forme Tornadus, Thundurus, Landorus. All of these can be obtained as low as level 5 if you don't have any badges in B2W2. Details for all of these can be found here.",FALSE
,Swablu,-,Player's,-,Interactable Pokémon,,FALSE
,Drifloon,-,Player's,-,Interactable Pokémon,,FALSE
,Riolu,-,Player's,-,Interactable Pokémon,,FALSE
,Sigilyph,-,Player's,-,Interactable Pokémon,,FALSE
,Igglybuff,-,Player's,-,Interactable Pokémon,,FALSE
,Shuckle,-,Player's,-,Interactable Pokémon,,FALSE
,Staryu,-,Player's,-,Interactable Pokémon,,FALSE
,Porygon,-,Player's,-,Interactable Pokémon,,FALSE
,Ralts,-,Player's,-,Interactable Pokémon,,FALSE
,Bronzor,-,Player's,-,Interactable Pokémon,,FALSE
,Togepi,-,Player's,-,Interactable Pokémon,,FALSE
,Smoochum,-,Player's,-,Interactable Pokémon,,FALSE
,Spiritomb,-,Player's,-,Interactable Pokémon,,FALSE
,Rotom,-,Player's,-,Interactable Pokémon,,FALSE
,Beldum,-,Player's,-,Interactable Pokémon,,FALSE
,Slowpoke,-,Player's,-,Interactable Pokémon,,FALSE
,Hoothoot,-,Player's,-,Interactable Pokémon,,FALSE
,Dialga,-,Player's,-,Interactable Pokémon,,FALSE
,Palkia,-,Player's,-,Interactable Pokémon,,FALSE
,Giratina,-,Player's,-,Interactable Pokémon,,FALSE
,Ho-oh,-,Player's,-,Interactable Pokémon,,FALSE
,Lugia,-,Player's,-,Interactable Pokémon,,FALSE
,Therian Tornadus,-,Player's,-,Interactable Pokémon,,FALSE
,Therian Thundurus,-,Player's,-,Interactable Pokémon,,FALSE
,Therian Landorus,-,Player's,-,Interactable Pokémon,,FALSE
"Omega Ruby and Alpha Sapphire Demo
↓
ORAS",Steelix,-,Orlando/Random ID,-,interactable Pokémon,"Caught in the ORAS demo. Transferrable to ORAS, and from there to Bank. Only in Japan.",FALSE
,Glalie,-,Orlando/Random ID,-,interactable Pokémon,"Caught in the ORAS demo. Transferrable to ORAS, and from there to Bank. In Europe, North America, South Korea, Australia.",FALSE
