Game,Pokémon,Nickname,OT/ID,Trainer requests,Category,Comments,Checklist
"Pokémon Box: Ruby and Sapphire
↓
RSE and FRLG",Swablu,-,Player's,-,Egg,0 deposited pokémon.,FALSE
,Zigzagoon,-,Player's,-,Egg,100 deposited pokémon.,FALSE
,Skitty,-,Player's,-,Egg,500 deposited pokémon.,FALSE
,Pichu,-,Player's,-,Egg,1499 deposited pokémon.,FALSE
"My Pokémon Ranch
↓
DPPl",Pikachu,-,Hayley/01000,Random pokémon,In-game trade,"Hayley will ask for a Pokémon that you have seen in-game. Capture that Pokémon, bring it to the ranch and then you can trade with her. These are all special Pokémon, knowing an egg move or having a specific item.",FALSE
,Eevee,-,,Random pokémon,In-game trade,,FALSE
,East Sea Shellos,-,,Random pokémon,In-game trade,,FALSE
,Croagunk,-,,Random pokémon,In-game trade,,FALSE
,Finneon,-,,Random pokémon,In-game trade,,FALSE
,Wynaut,-,,Random pokémon,In-game trade,,FALSE
,Pachirisu,-,,Random pokémon,In-game trade,,FALSE
,Aerodactyl,-,,Random pokémon,In-game trade,,FALSE
,Lickitung,-,,Random pokémon,In-game trade,,FALSE
,Wailmer,-,,Random pokémon,In-game trade,,FALSE
,Combee ♀,-,,Random pokémon,In-game trade,,FALSE
,Staravia,-,,Random pokémon,In-game trade,,FALSE
,Yanma,-,,Random pokémon,In-game trade,,FALSE
,Snover,-,,Random pokémon,In-game trade,,FALSE
,Shroomish,-,,Random pokémon,In-game trade,,FALSE
,Ponyta,-,,Random pokémon,In-game trade,,FALSE
,Buneary,-,,Random pokémon,In-game trade,,FALSE
,Miltank,-,,Random pokémon,In-game trade,,FALSE
,Tangela,-,,Random pokémon,In-game trade,,FALSE
,Vulpix,-,,Random pokémon,In-game trade,,FALSE
,Phione,-,,Leafeon,In-game trade,Get Ranch up to Level 15 (Import 250 Pokémon).,FALSE
,Mew,-,,An egg,In-game trade,Get Ranch up to Level 25 (Import 999 Pokémon).,FALSE
Pokémon HOME,Pikachu,-,HOME/200212,-,Gift Pokémon,Load up the app for the first time.                                                                                Important note: most of the Gift Pokémon from HOME have a HOME stamp (top-right corner in the mobile app). That stamp will be replaced if the Pokémon is transferred to any Switch game. So be careful if you want the Pokémon to keep that stamp.,FALSE
,Bulbasaur,-,Player's,-,Gift Pokémon,Choice after loading up the app for the first time.,FALSE
,Charmander,-,Player's,-,Gift Pokémon,,FALSE
,Squirtle,-,Player's,-,Gift Pokémon,,FALSE
,Pichu,-,Player's,-,Gift Pokémon,"Complete a challenge, obtain a sticker and put it in your profile.",FALSE
,Rotom,-,Player's,-,Gift Pokémon,Have a Pokémon that you put in the GTS be taken.,FALSE
,Eevee,-,Player's,-,Gift Pokémon,Have a Pokémon that you deposited in the Wonder Box be taken.,FALSE
,Grookey,-,Player's,-,Gift Pokémon,"Deposit a Pokémon from SwSh into HOME. These three Pokémon (and only these three, from the HOME Gift Pokémon) can be shiny hunted, but it's a very tedious process.",FALSE
,Scorbunny,-,Player's,-,Gift Pokémon,,FALSE
,Sobble,-,Player's,-,Gift Pokémon,,FALSE
,Gmax Melmetal,-,HOME/808809,-,Gift Pokémon,Send a Pokémon from Go to HOME for the first time.,FALSE
,Turtwig,-,Player's,-,Gift Pokémon,Deposit a Pokémon from BDSP into HOME.,FALSE
,Chimchar,-,Player's,-,Gift Pokémon,,FALSE
,Piplup,-,Player's,-,Gift Pokémon,,FALSE
,Rowlet,-,Player's,-,Gift Pokémon,Deposit a Pokémon from PLA into HOME.,FALSE
,Cyndaquil,-,Player's,-,Gift Pokémon,,FALSE
,Oshawott,-,Player's,-,Gift Pokémon,,FALSE
,Sprigatito,-,Player's,-,Gift Pokémon,Deposit a Pokémon from SV into HOME.,FALSE
,Fuecoco,-,Player's,-,Gift Pokémon,,FALSE
,Quaxly,-,Player's,-,Gift Pokémon,,FALSE
,Original Color Magearna,-,Player's,-,Gift Pokémon,"Complete the National Pokédex (actually, you only have to complete it till SwSh, pre-dlc).",FALSE
,Shiny Meloetta,-,HOME/241016,-,Gift Pokémon,Complete the HOME version Pokédex of Scarlet/Violet + DLCs.,FALSE
,Shiny Manaphy,-,HOME/250128,-,Gift Pokémon,Complete the HOME version Pokédex of BDSP.,FALSE
,Shiny Enamorus,-,HOME/250128,-,Gift Pokémon,Complete the HOME version Pokédex of Legends Arceus.,FALSE
,Shiny Meltan,-,HOME/250212,-,Gift Pokémon,Complete the HOME version Pokédex of LGPE.,FALSE
,Shiny Keldeo,-,HOME/250212,-,Gift Pokémon,Complete the HOME version Pokédex of Sword/Shield + DLCs.,FALSE
,Shiny Volcanion,-,HOME/260427,-,Gift Pokémon,Complete the HOME version Pokédex of Legends Z-A + DLC.,FALSE
,Chikorita,-,Player's,-,Gift Pokémon,Deposit a Pokémon from Legends Z-A into HOME.,FALSE
,Tepig,-,Player's,-,Gift Pokémon,,FALSE
,Totodile,-,Player's,-,Gift Pokémon,,FALSE
