identificativo,cifre,allenatore,evento,stato,nota
00000,5,e-Reader Trainers,Multiple,non collezionabile,"Internally, Pokémon used by e-Reader Trainers use this ID number except when Shiny , in which case their ID number will instead match the low half of their personality value"
00000,5,Pokémon Emerald 's Pokédex,Multiple,non collezionabile,"The ID of the ""fake Trainer"" used internally by the Pokédex in Pokémon Emerald , as a method to store the personality value and other details about a registered Pokémon's apperance, such as Spinda 's spot pattern, and Unown 's form . [ 1 ]"
000000,6,Mr. Al Rent,Multiple,non collezionabile,The ID of the Rental Pokémon given to the player by the Rental team receptionist in the Battle Tower
000001,6,AZ,Eternal Flower Floette,non coperta,AZ 's ID
00002,5,Ｎ N,Unova Classic N's Darmanitan,coperta sul solo identificativo,None
00002,5,N,Multiple,coperta con allenatore,N's Pokémon
00010,5,10 ANIV 10ANNIV 10JAHRE 10ANNI,Multiple,coperta sul solo identificativo,Used for the Pokémon obtained at events that celebrated the tenth anniversary of Pokémon
00010,5,SPACE C,Space C Deoxys,coperta con allenatore,
000132,6,ひみつ,Secret Shiny Krabby,coperta con allenatore,Shiny
000219,6,ワルモン Darko,Multiple,coperta sul solo identificativo,The ID of the trainer on Cinnabar Island who wants to trade Grimer for Alolan Grimer P or Meowth for Alolan Meowth E
00022,5,ウチダアツト,Atsuto Uchida Pikachu,coperta con allenatore,None
00037,5,サナ Shauna,Multiple,coperta sul solo identificativo,Shauna 's ID
000410,6,ヒラヒラ Hila,Multiple,coperta sul solo identificativo,The ID of the Trainer on Route 2 who wants to trade Spearow for Machop S M or Hawlucha US UM
00108,5,GTS,GTS Fancy Pattern Vivillon,coperta con allenatore,None
00185,5,ぐりお Cliff,Farfetch'd (Pokémon),coperta sul solo identificativo,The ID of the Trainer in Santalune City who wants to trade X Y
00283,5,ミサコ Ayana,Dodrio (Pokémon),coperta sul solo identificativo,The ID of the Trainer in Blackthorn City who wants to trade HG SS
00325,5,サトチン Lane,Corsola (Pokémon),coperta sul solo identificativo,The ID of the Trainer in Pacifidlog Town who wants to trade OR AS
00711,5,７ ＳＰＯＴ,Multiple,coperta con allenatore,Used for the 7-Eleven Lugia and Latios
00711,5,サトシ,7-Eleven Ash's Pikachu,coperta con allenatore,None
00711,5,セレナ,7-Eleven Serena's Pancham,coperta con allenatore,None
00720,5,そうせんきょ,Multiple,coperta con allenatore,Used for the Pokémon General Election 720 Greninja and Simisear
01000,5,ユカリ Hayley EULALIE EUKALIA GIULIA EULALIA,Multiple,coperta sul solo identificativo,Used for the Pokémon given by Hayley in My Pokémon Ranch
01001,5,ユウジ 유랑 Vijay Webster Norman Mark Quintín,Spearow,coperta sul solo identificativo,The OT of the Trainer who gives the player a Spearow to deliver to his friend
01014,5,영화관,Cinema Genesect,non coperta,Shiny
01016,5,ポケセン,Multiple,non coperta,"Used for the first distribution of Mega Campaign Slowbro , Sableye , Altaria , Lucario , and Audino"
01031,5,GAMESTP,GameStop Raikou,coperta con allenatore,Shiny ; activates a battle with a wild Zoroark in Black and White via Relocator
01044,5,XY,XY Sylveon,non coperta,None
01069,5,あきやま,Akiyama Slaking,coperta con allenatore,None
01071,5,달건,Goone's Scizor,non coperta,None
010913,6,キーヤン Miyo,Arbok (Pokémon),coperta sul solo identificativo,The ID of the Trainer on Route 8 who wants to trade US UM
010913,6,モエモエ Momoe,Happiny (Pokémon),coperta sul solo identificativo,The ID of the Trainer in Malie City who wants to trade S M
01095,5,Ｐ－Ｃａｆｅ,Pokémon Cafe Pikachu,coperta sul solo identificativo,None
01095,5,プレゼント,Hidden Ability Present Serperior,coperta con allenatore,None
01096,5,ポケセン,Multiple,non coperta,"Used for the second distribution of Mega Campaign Slowbro , Sableye , Altaria , Lucario , and Audino"
01110,5,ＷＣＳ,2010 World Championships Eevee,coperta sul solo identificativo,Shiny
01113,5,Ｐ２ラボ,P2 Laboratory Genesect,coperta sul solo identificativo,Can activate an event at P2 Laboratory where the player receives two Drives
01154,5,XY,XY Garchomp,non coperta,Used in Taiwanese regions
01155,5,영화관,Cinema Diancie,coperta con allenatore,"In Generation VI, prompts special dialogue upon leaving a Pokémon Center . In Omega Ruby and Alpha Sapphire , the player also obtains a Diancite"
01158,5,さいきょう,Strongest Dragonite,coperta con allenatore,None
01161,5,ポケスマ！,Pokémon Smash! Zoroark,coperta sul solo identificativo,None
01163,5,HVR2013 INV2013 WIN2013,Winter 2013 Keldeo,coperta sul solo identificativo,Can learn Secret Sword in Generation V
01165,5,プレゼント,Multiple,coperta con allenatore,Used for the Hidden Ability Present Emboar and Samurott
01166,5,겨울의반격,Winter Counterattack Gyarados,coperta con allenatore,Shiny
01166,5,ポケセン,Multiple,coperta sul solo identificativo,"Used for the third distribution of Mega Campaign Slowbro , Sableye , Altaria , Lucario , and Audino"
01171,5,GAMESTP,GameStop Entei,coperta con allenatore,Shiny ; activates a battle with a wild Zoroark in Black and White via Relocator
011814,6,Ash Sacha,Kalos Cap Pikachu,coperta sul solo identificativo,"Distributed in America, Europe, and Taiwan"
01185,5,ＷＨＦ１５,Winter 2015 World Hobby Fair Rayquaza,coperta sul solo identificativo,Shiny
01193,5,플라스마단,Plasma Genesect,non coperta,Can activate an event at P2 Laboratory where the player receives two Drives
01203,5,Abram,Winter Regional Championships 2013 Cloyster,coperta con allenatore,None
01211,5,HVR2011 INV2011 WIN2011,Winter 2011 Celebi,coperta sul solo identificativo,Allows the player to battle Giovanni in HeartGold and SoulSilver Allows a Zorua to join the party in Black and White via Relocator
01225,5,Cadeau Geschenk Present Regalo,Hidden Ability Present Serperior,coperta sul solo identificativo,None
01235,5,ＰＧＬ PGL,PGL Tyrunt,coperta sul solo identificativo,None
01236,5,ポケセン,Multiple,non coperta,"Used for the fourth distribution of Mega Campaign Slowbro , Sableye , Altaria , Lucario , and Audino"
01239,5,HADEN,Lickitung (Pokémon),coperta sul solo identificativo,The ID of the Trainer on Route 18 who wants to trade FR LG
01244,5,XY,XY Garchomp,coperta con allenatore,Used in American regions
01256,5,ウッツ－,Utz Magikarp,coperta con allenatore,None
01281,5,サトシ,Satoshi's Scraggy,coperta con allenatore,None
01286,5,Jade,Jade Infernape,coperta con allenatore,None
01294,5,サカキ,Pokémon Center Occupation Plan Giovanni's Nidoqueen,coperta con allenatore,None
01295,5,Cadeau Geschenk Present Regalo,Hidden Ability Present Emboar,coperta sul solo identificativo,None
01300,5,GAMESTP,GameStop Pichu,coperta con allenatore,"Shiny ; When traded to HeartGold and SoulSilver , allows the player to obtain a Spiky-eared Pichu"
01300,5,한국닌텐도,Nintendo of Korea Jirachi,coperta sul solo identificativo,"When traded to HeartGold and SoulSilver , unlocks the Pokéwalker route Night Sky's Edge"
01301,5,Ash,Ash's Pikachu,coperta con allenatore,None
01306,5,ポケセン,Multiple,non coperta,"Used for the fifth and final distribution of Mega Campaign Slowbro , Sableye , Altaria , Lucario , and Audino"
01311,5,GAMESTP,GameStop Suicune,coperta con allenatore,Shiny ; activates a battle with a wild Zoroark in Black and White via Relocator
019248,6,ミナッチ Mindy,Haunter (Pokémon),coperta sul solo identificativo,The ID of the Trainer in Snowpoint City who wants to trade BD SP
01985,5,ひとまろ REYLEY,Mr. Mime (Pokémon),coperta sul solo identificativo,The ID of the Trainer on Route 2 who wants to trade FR LG
02005,5,ROCKS,Pokémon Rocks America 2005 Metang,coperta con allenatore,None
02005,5,フェスタ,Pokémon Festa 2005 Metang,coperta con allenatore,None
02010,5,MICHINA,Europe Michina Arceus,coperta con allenatore,"In HeartGold and SoulSilver , grants access to the Sinjoh Ruins . In Platinum , prompts special dialogue in the Oreburgh Mine"
02011,5,지우,Han Jiwoo's Pikachu,non coperta,None
02014,5,새해복많이,Multiple,coperta sul solo identificativo,"Used for the New Year Haunter and Scyther . Because they are traded to the recipient, they will evolved immediately."
02014,5,ポケセン,Multiple,coperta con allenatore,Used for the Pokémon Center Gengar and Scizor
02016,5,GF,20th Anniversary Mew,coperta con allenatore,None
020218,6,2018 Legends Légendes2018 Legenden2018 Leggende2018 Leyendas2018,Multiple,coperta sul solo identificativo,Used for the Legendary Pokémon Celebration Dialga and Palkia
02027,5,しょこたん,Shokotan Tropius,coperta con allenatore,None
02055,5,속성클리어,Strategy Guide Keldeo,coperta con allenatore,None
02056,5,オンライン,Pokémon Center Online Pikachu,coperta con allenatore,None
02071,5,HVR2011 INV2011 WIN2011,Winter 2011 Raikou,coperta sul solo identificativo,Shiny ; activates a battle with a wild Zoroark in Black and White via Relocator
