generazione,tabella,tipo,dex,specie,livello,pid,identificativo,forma,luogo,nota
1,TradeGift_RB,EncounterTrade1,122,Mr. Mime,6,,,,,Mr. Mime - Abra
1,TradeGift_RB,EncounterTrade1,29,Nidoran♀,2,,,,,Nidoran♀ - Nidoran♂ (International)
1,TradeGift_RB,EncounterTrade1,32,Nidoran♂,2,,,,,Nidoran♂ - Nidoran♀ (Japanese)
1,TradeGift_RB,EncounterTrade1,30,Nidorina,16,,,,,Nidorina - Nidorino
1,TradeGift_RB,EncounterTrade1,108,Lickitung,15,,,,,Lickitung - Slowbro
1,TradeGift_RB,EncounterTrade1,124,Jynx,15,,,,,Jynx - Poliwhirl
1,TradeGift_RB,EncounterTrade1,83,Farfetch’d,2,,,,,Farfetch’d - Spearow
1,TradeGift_RB,EncounterTrade1,101,Electrode,3,,,,,Electrode - Raichu
1,TradeGift_RB,EncounterTrade1,114,Tangela,13,,,,,Tangela - Venonat
1,TradeGift_RB,EncounterTrade1,86,Seel,28,,,,,Seel - Ponyta
1,TradeGift_YW,EncounterTrade1,122,Mr. Mime,8,,,,,Mr. Mime - Clefairy
1,TradeGift_YW,EncounterTrade1,67,Machoke,16,,,,,Machoke - Cubone
1,TradeGift_YW,EncounterTrade1,51,Dugtrio,15,,,,,Dugtrio - Lickitung
1,TradeGift_YW,EncounterTrade1,47,Parasect,13,,,,,Parasect - Tangel
1,TradeGift_YW,EncounterTrade1,112,Rhydon,15,,,,,Rhydon - Golduck
1,TradeGift_YW,EncounterTrade1,87,Dewgong,15,,,,,Dewgong - Growlithe
1,TradeGift_YW,EncounterTrade1,89,Muk,25,,,,,Muk - Kangaskhan
1,TradeGift_BU,EncounterTrade1,122,Mr. Mime,3,,,,,Mr. Mime - Jigglypuff
1,TradeGift_BU,EncounterTrade1,60,Poliwag,2,,,,,Poliwag - Rattata
1,TradeGift_BU,EncounterTrade1,115,Kangaskhan,15,,,,,Kangaskhan - Rhydon
1,TradeGift_BU,EncounterTrade1,128,Tauros,28,,,,,Tauros - Persian
1,TradeGift_BU,EncounterTrade1,93,Haunter,28,,,,,Haunter - Machop->Machoke
1,TradeGift_BU,EncounterTrade1,83,Farfetch’d,2,,,,,Farfetch’d - Wild Pidgey
1,TradeGift_BU,EncounterTrade1,75,Graveler,16,,,,,Graveler - Abra->Kadabra
1,TradeGift_BU,EncounterTrade1,79,Slowpoke,22,,,,,Slowpoke - Seel
1,TradeGift_BU,EncounterTrade1,98,Krabby,15,,,,,Krabby - Growlithe
2,TradeGift_GSC,EncounterTrade2,95,Onix,3,,,,,Onix @ Violet City for Bellsprout [wild]
2,TradeGift_GSC,EncounterTrade2,66,Machop,5,,,,,"Machop @ Goldenrod City for Drowzee [wild 9, hatched egg 5]"
2,TradeGift_GSC,EncounterTrade2,100,Voltorb,5,,,,,Voltorb @ Olivine City for Krabby [egg]
2,TradeGift_GSC,EncounterTrade2,112,Rhydon,10,,,,,Rhydon @ Blackthorn City for Dragonair [wild]
2,TradeGift_GSC,EncounterTrade2,142,Aerodactyl,5,,,,,Aerodactyl @ Route 14 for Chansey [egg]
2,TradeGift_GSC,EncounterTrade2,78,Rapidash,14,,,,,Rapidash @ Pewter City for Gloom [wild]
2,TradeGift_GSC,EncounterTrade2,85,Dodrio,10,,,,,Dodrio @ Blackthorn City for Dragonair [wild]
2,TradeGift_GSC,EncounterTrade2,178,Xatu,15,,,,,Xatu @ Pewter City for Haunter [wild]
2,TradeGift_GSC,EncounterTrade2,82,Magneton,5,,,,,Magneton @ Power Plant for Dugtrio [traded for Lickitung]
2,TradeGift_GSC,EncounterTrade2,21,Spearow,10,,,,,Spearow @ Goldenrod City for free
2,TradeGift_GSC,EncounterTrade2,213,Shuckle,15,,,,,Shuckle @ Cianwood City for free
3,TradeGift_FRLG,EncounterTrade3,122,Mr. Mime,5,0x00009CAE,01985,,,Abra (Level 5 Breeding) -> Mr. Mime
3,TradeGift_FRLG,EncounterTrade3,124,Jynx,20,0x498A2E1D,36728,,,Poliwhirl (Level 20) -> Jynx
3,TradeGift_FRLG,EncounterTrade3,83,Farfetch’d,3,0x151943D7,08810,,,Spearow (Level 3 Capture) -> Farfetch'd
3,TradeGift_FRLG,EncounterTrade3,101,Electrode,3,0x06341016,50298,,,Raichu (Level 3) -> Electrode
3,TradeGift_FRLG,EncounterTrade3,114,Tangela,5,0x5C77ECFA,60042,,,Venonat (Level 5 Breeding) -> Tangela
3,TradeGift_FRLG,EncounterTrade3,86,Seel,5,0x482CAC89,09853,,,Ponyta (Level 5 Breeding) -> Seel *
3,TradeGift_FR,EncounterTrade3,29,Nidoran♀,5,0x4C970B89,63184,,,Nidoran♀
3,TradeGift_FR,EncounterTrade3,30,Nidorina,16,0x00EECA15,13637,,,Nidorina *
3,TradeGift_FR,EncounterTrade3,108,Lickitung,25,0x451308AB,01239,,,Golduck (Level 25) -> Lickitung  *
3,TradeGift_LG,EncounterTrade3,32,Nidoran♂,5,0x4C970B9E,63184,,,Nidoran♂ *
3,TradeGift_LG,EncounterTrade3,33,Nidorino,16,0x00EECA19,13637,,,Nidorino  *
3,TradeGift_LG,EncounterTrade3,108,Lickitung,25,0x451308AB,01239,,,Slowbro (Level 25) -> Lickitung  *
3,TradeGift_RS,EncounterTrade3,296,Makuhita,5,0x00009C40,49562,,,Slakoth (Level 5 Breeding) -> Makuhita
3,TradeGift_RS,EncounterTrade3,300,Skitty,3,0x498A2E17,02259,,,Pikachu (Level 3 Viridian Forest) -> Skitty
3,TradeGift_RS,EncounterTrade3,222,Corsola,21,0x4C970B7F,50183,,,Bellossom (Level 21 Oddish -> Gloom -> Bellossom) -> Corsola
3,TradeGift_E,EncounterTrade3,273,Seedot,4,0x00000084,38726,,,Ralts (Level 4 Route 102) -> Seedot
3,TradeGift_E,EncounterTrade3,311,Plusle,5,0x0000006F,08460,,,Volbeat (Level 5 Breeding) -> Plusle
3,TradeGift_E,EncounterTrade3,116,Horsea,5,0x0000007F,46285,,,Bagon (Level 5 Breeding) -> Horsea*
3,TradeGift_E,EncounterTrade3,52,Meowth,3,0x0000008B,25945,,,Skitty (Level 3 Trade)-> Meowth*
3,Trades,EncounterTrade3XD,239,Elekid,20,,41400,,164,Elekid @ Snagem Hideout
3,Trades,EncounterTrade3XD,307,Meditite,20,,37149,,116,Meditite @ Pyrite Town
3,Trades,EncounterTrade3XD,213,Shuckle,20,,37149,,116,Shuckle @ Pyrite Town
3,Trades,EncounterTrade3XD,246,Larvitar,20,,37149,,116,Larvitar @ Pyrite Town
4,RanchGifts,EncounterTrade4RanchGift,25,Pikachu,20,,,,0068,Pikachu
4,RanchGifts,EncounterTrade4RanchGift,37,Vulpix,30,,,,3000,Vulpix
4,RanchGifts,EncounterTrade4RanchGift,77,Ponyta,16,,,,3000,Ponyta
4,RanchGifts,EncounterTrade4RanchGift,108,Lickitung,40,,,,0077,Lickitung
