sorgente,anno,regione,nome,sesso,palla,livello,cromatico,gigantamax,contrassegni,allenatore,allenatori,identificativo,abilita,natura_e_incontro,mosse,fiocchi,descrizione,metodo,luogo,inizio,fine,giochi
/events/auroraticket.shtml,2005,America,Deoxys,,auroraticket,30,no,no,,Yours,1,Yours,Pressure,Any Nature. Date of Receiving Birth Island. Met at Lv. 30,Swift / Psychic / Pursuit / Knock Off,,Pok�mon Rocks America,In-Life,USA,1 May 2005,1 May 2005,Emerald
/events/auroraticket.shtml,2004,Japan,デオキシス,,auroraticket,30,no,no,,Yours,1,Yours,Pressure,Any Nature. Date of Receiving Birth Island. Met at Lv. 30,Swift / Psychic / Pursuit / Knock Off,,Pok�mon Centre,In-Life,Japan,16 September 2004,16 September 2004,Emerald
/events/mysticticket.shtml,2005,America,Lugia,,mysticticket,70,no,no,,Yours,1,Yours,Pressure,Any Nature. Date of Receiving Navel Rock. Met at Lv. 70,Swift / Rain Dance / Hydro Pump / Recover,,Pok�mon Rocks America,In-Life,USA,17 September 2005,22 October 2005,"Emerald, FireRed, LeafGreen"
/events/mysticticket.shtml,2004,Japan,ルギア,,mysticticket,70,no,no,,Yours,1,Yours,Pressure,Any Nature. Date of Receiving Navel Rock. Met at Lv. 70,Swift / Rain Dance / Hydro Pump / Recover,,Pok�mon Centre,In-Life,Japan,17 July 2004,4 September 2004,"Emerald, FireRed, LeafGreen"
/events/oldseamap.shtml,2005,Japan,ミュウ,,oldseamap,30,no,no,,Yours,1,Yours,Synchronize,Any Nature. Date of Receiving Faraway Island. Met at Lv. 30,Pound / Transform / Mega Punch / Metronome,,Pok�Festa,In-Life,Japan,18 July 2005,21 August 2005,Emerald
/events/items/2013.shtml,,,,,,,no,no,,,0,,,,,,Pokémon X & Y - Download Bonus,Serial Code,Japan,12 October 2013,12 April 2014,"X, Y"
/events/items/2013.shtml,,,,,,,no,no,,,0,,,,,,Pokémon X & Y - Launch Bonus,Serial Code,Europe,12 October 2013,12 April 2014,"X, Y"
/events/items/2013.shtml,,,,,,,no,no,,,0,,,,,,Jump Festa Distribution,In-Life,Japan,21 November 2013,22 November 2013,"X, Y"
/events/items/2013.shtml,,,,,,,no,no,,,0,,,,,,Pokémon X & Y - Toys 'R' Us Gift,Serial Code,South Korea,1 December 2013,28 February 2014,"X, Y"
/events/items/2013.shtml,,,,,,,no,no,,,0,,,,,,Pokémon Center Christmas Distribution,Serial Code,Japan,21 December 2013,26 December 2013,"X, Y"
/events/items/2014.shtml,,Band of Thieves & 1000 Pok&eacute;mon,,,,,no,no,,,0,,,,,,PokéMileage Club Gift,Global Link,Globak,15 January 2014,3 March 2014,"X, Y"
/events/items/2014.shtml,,Band of Thieves & 1000 Pok&eacute;mon,,,,,no,no,,,0,,,,,,Pokémon - Dragon King Tournament - Win Gift,In-Life,Japan,19 January 2014,9 March 2014,"X, Y"
/events/items/2014.shtml,,Band of Thieves & 1000 Pok&eacute;mon,,,,,no,no,,,0,,,,,,Japan Cup 2014 Online Competition Entry Gift,Serial Code,Japan,13 May 2014,1 July 2014,"X, Y"
/events/items/2014.shtml,,Band of Thieves & 1000 Pok&eacute;mon,,,,,no,no,,,0,,,,,,Band of Thieves & 1000 Pokémon - Special Movie Code,Serial Code,Japan,19 July 2014,30 September 2014,"X, Y"
/events/items/2014.shtml,,Band of Thieves & 1000 Pok&eacute;mon,,,,,no,no,,,0,,,,,,Gamestop & Pokémon Trainer Club Newsletter - Mega Stone Distribution,Serial Code,North America,18 August 2014,31 August 2014,X
/events/items/2014.shtml,,Band of Thieves & 1000 Pok&eacute;mon,,,,,no,no,,,0,,,,,,Pikachu Cup Entry Distribution,Serial Code,Global,29 August 2014,30 September 2014,"X, Y"
/events/items/2014.shtml,,Band of Thieves & 1000 Pok&eacute;mon,,,,,no,no,,,0,,,,,,Pokémon Omega Ruby & Alpha Sapphire Dual Pack Gift,Serial Code,Japan,21 November 2014,29 January 2015,"Omega Ruby, Alpha Sapphire"
/events/items/2014.shtml,,Band of Thieves & 1000 Pok&eacute;mon,,,eonticket,,no,no,,,0,,,,,,CoroCoro Eon Ticket Distribution,Serial Code,Japan,26 November 2014,31 May 2015,"Omega Ruby, Alpha Sapphire"
/events/items/2014.shtml,,Band of Thieves & 1000 Pok&eacute;mon,,,,,no,no,,,0,,,,,,Pokémon Omega Ruby & Alpha Sapphire Complete National Pokédex Guide Gift,Serial Code,Japan,5 December 2014,31 January 2016,"Omega Ruby, Alpha Sapphire"
