sorgente,anno,regione,nome,sesso,palla,livello,cromatico,gigantamax,contrassegni,allenatore,allenatori,identificativo,abilita,natura_e_incontro,mosse,fiocchi,descrizione,metodo,luogo,inizio,fine,giochi
/events/dex/001.shtml,2021,Global,Bulbasaur,entrambi,cherishball,14,no,si,dynamaxicon galar,HOME,1,210601,Overgrow,Bold Nature. Date of Receiving a lovely place. Apparently had a fateful encounter at Lv. 14,Vine Whip / Growth / Leech Seed / Razor Leaf,Premier Ribbon,Pokémon HOME June Update Gift,Wi-Fi,Global,17 June 2021,30 June 2021,HOME
/events/dex/001.shtml,2021,Global,Bulbasaur,entrambi,cherishball,14,no,si,dynamaxicon galar,HOME,1,210601,Overgrow,Bold Nature. Date of Receiving a lovely place. Apparently had a fateful encounter at Lv. 14,Vine Whip / Growth / Leech Seed / Razor Leaf,Premier Ribbon,Pokémon HOME June Update Gift,Wi-Fi,Global,17 June 2021,30 June 2021,"Sword, Shield"
/events/dex/001.shtml,2016,America,Bulbasaur,maschio,cherishball,5,no,no,11039,WORLDS16,1,08196,Chlorophyll,Any Nature. Date of Receiving WCS 2016. Apparently had a fateful encounter at Lv. 5,Tackle / Growl / Celebrate,Event Ribbon,Pokémon World Championships Distribution,In-Life,North America,19 August 2016,21 August 2016,"X, Y, OmegaRuby, AlphaSapphire"
/events/dex/001.shtml,2015,Japan,フシギダネ,entrambi,cherishball,5,no,no,11039,ポケモンラボ,1,07085,Overgrow,Any Nature. Date of Receiving a lovely place. Apparently had a fateful encounter at Lv. 5,Growl / Leech Seed / Vine Whip / Poison Powder,Event Ribbon,Pokémon Lab Event - Special Distribution,Serial Code,Japan,8 July 2015,31 November 2015,"X, Y, OmegaRuby, AlphaSapphire"
/events/dex/001.shtml,2012,Japan,フシギダネ,entrambi,pokeball,1,no,no,,Yours,1,Yours,Overgrow,Any Nature. Egg Received Date of Receiving Pokémon Event. Hatched at Location,False Swipe / Block / Frenzy Plant / Weather Ball,,Collect Pokémon Campaign,In-Life,Japan,1 September 2012,30 September 2012,"Black 2, White 2"
/events/dex/001.shtml,2010,Japan,フシギダネ,maschio,,10,no,no,,Yours,1,Yours,Chlorophyll,Any Nature. Date of Receiving Entree Forest. Met at Lv. 10,Tackle / Growl / Leech Seed / Vine Whip,,Pokémon Pia,Global Link,Japan,14 October 2010,31 May 2011,"Black, White"
/events/dex/001.shtml,2006,America,Bulbasaur,entrambi,pokeball,70,no,no,,10 ANIV,1,06808,Overgrow,Any Nature. Date of Receiving Event. Met at Lv. 70,Sweet Scent / Growth / Solar Beam / Synthesis,,Bryant Park,In-Life,USA,8 August 2006,8 August 2006,"Ruby, Sapphire, Emerald, FireRed, LeafGreen"
/events/dex/001.shtml,2006,America,Bulbasaur,entrambi,pokeball,70,no,no,,10 ANIV,1,00010,Overgrow,Any Nature. Date of Receiving Event. Met at Lv. 70,Sweet Scent / Growth / Solar Beam / Synthesis,,10th Anniversary,In-Life,USA,25 February 2006,23 July 2006,"Ruby, Sapphire, Emerald, FireRed, LeafGreen"
/events/dex/001.shtml,2006,Japan,フシギダネ,maschio,pokeball,10,no,no,,トウキョー / オーサカ / ナゴヤ / フクオカ / ヨコハマ / サッポロ,6,60227,Overgrow,Any Nature. Date of Receiving Event. Met at Lv. 10,Tackle / Growl / Leech Seed / Vine Whip,,Gotta Catch 'Em All Event 4,In-Life,Japan,11 February 2006,27 February 2006,"Ruby, Sapphire, Emerald, FireRed, LeafGreen"
/events/dex/003.shtml,2016,Japan,フシギバナ,entrambi,cherishball,100,no,no,11039,Pスクラップ,1,04286,Chlorophyll,Any Nature. Date of Receiving a lovely place. Apparently had a fateful encounter at Lv. 100,Solar Beam / Frenzy Plant / Synthesis / Grass Pledge,Classic Ribbon,Pokémon Scrap 2016 Campaign,Serial Code,Japan,28 April 2016,31 August 2016,"OmegaRuby, AlphaSapphire"
